numerous,zahlreich
tired,müde
sudden,plötzlich
beating,schlagen
precise,präzise
from scratch,von Grund auf
previously,vorher
shapes,formen
remarkable,bemerkenswert
arrange,arrangieren
until,bis
decades,Jahrzehnte
noun,substantiv
froze,erstarrte
such,solch
gathering,Versammlung
gain,gewinnen
seems,scheint
wrap up,einpacken
accomplished,vollendet
rocked back,schaukelte zurück
calm,ruhig
boundaries,Grenzen
disbelief,Unglaube
doer,macher
disappear,verschwinden
carried,getragen
exhausted,erschöpft
necessary,notwendig
solidifying,verfestigend
,
